"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043021","ribonucleoprotein complex binding","11/151","177/18639",0.0621468926553672,7.6712313390953,8.05928329270773,2.10833621012031e-07,8.8550120825053e-05,8.10044964940961e-05,"CCDC47/ABCF1/SNRPD1/SRP68/GTPBP4/NOMO3/RPLP1/NPM1/PRPF6/DDX3X/EIF3C",11
"GO:0043022","ribosome binding","7/151","112/18639",0.0625,7.7148178807947,6.44145326117342,3.54620174563331e-05,0.00744702366582996,0.00681244019555873,"CCDC47/ABCF1/SRP68/NOMO3/NPM1/DDX3X/EIF3C",7
