"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0036464","cytoplasmic ribonucleoprotein granule","17/260","261/19880",0.0651340996168582,4.98025346301208,7.45121317122062,6.61138594862337e-08,2.20348789561642e-05,1.78345106102523e-05,"EDC3/RC3H1/SMN1/DCP2/SMN2/UBAP2L/LSM3/RPL28/LARP1/RC3H2/CLOCK/LSM2/RBPMS2/LSM14A/TUBB/CASC3/RAC1",17
"GO:0035770","ribonucleoprotein granule","17/260","278/19880",0.0611510791366906,4.67570558937465,7.10472648934798,1.63941957069399e-07,2.20348789561642e-05,1.78345106102523e-05,"EDC3/RC3H1/SMN1/DCP2/SMN2/UBAP2L/LSM3/RPL28/LARP1/RC3H2/CLOCK/LSM2/RBPMS2/LSM14A/TUBB/CASC3/RAC1",17
"GO:0005925","focal adhesion","21/260","424/19880",0.0495283018867925,3.78701015965167,6.67773438844708,2.03747979356591e-07,2.20348789561642e-05,1.78345106102523e-05,"FLOT1/CYFIP1/PTK7/PTPN12/CPNE3/B2M/CTNNA1/PRKAR2A/RPS5/CORO1C/CLASP2/SDCBP/RPS10/PPP1R12A/ARPC3/YWHAE/AIF1L/CHP1/TSPAN9/VIM/RAC1",21
"GO:0042470","melanosome","11/260","111/19880",0.0990990990990991,7.57726957726958,7.99924908524692,2.3145881256475e-07,2.20348789561642e-05,1.78345106102523e-05,"FLOT1/PDIA4/TFRC/CANX/ANXA2/SDCBP/PDIA6/RPN1/YWHAE/ATP6V0A1/RAC1",11
"GO:0048770","pigment granule","11/260","111/19880",0.0990990990990991,7.57726957726958,7.99924908524692,2.3145881256475e-07,2.20348789561642e-05,1.78345106102523e-05,"FLOT1/PDIA4/TFRC/CANX/ANXA2/SDCBP/PDIA6/RPN1/YWHAE/ATP6V0A1/RAC1",11
"GO:0030055","cell-substrate junction","21/260","434/19880",0.0483870967741935,3.69975186104218,6.54618105027245,2.99411786417275e-07,2.37533350557705e-05,1.9225388391004e-05,"FLOT1/CYFIP1/PTK7/PTPN12/CPNE3/B2M/CTNNA1/PRKAR2A/RPS5/CORO1C/CLASP2/SDCBP/RPS10/PPP1R12A/ARPC3/YWHAE/AIF1L/CHP1/TSPAN9/VIM/RAC1",21
"GO:0098687","chromosomal region","19/260","408/19880",0.0465686274509804,3.56070889894419,6.0161610159686,1.96908506170239e-06,0.000133897784195763,0.000108373704147831,"WRAP53/AURKA/DDB1/PTGES3/SLF2/KNL1/TNKS2/ORC1/NUP98/STAG1/PRKDC/CLASP2/DCTN1/DCTN5/SETX/PPP1R12A/GTF2B/SEPTIN6/XRCC5",19
"GO:0140534","endoplasmic reticulum protein-containing complex","8/260","118/19880",0.0677966101694915,5.18383311603651,5.24728132234412,0.000162828034384913,0.0096882680459023,0.00784145534011553,"PRKCSH/EMC4/MAGT1/B2M/NPLOC4/NBAS/PDIA6/RPN1",8
