"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010212","response to ionizing radiation","28/1882","143/18805",0.195804195804196,1.95648135074277,3.82879122943863,0.00039614882545819,0.00729221527251193,0.00630761236651876,"CDKN1A/PRKDC/CLK2/UIMC1/EEF1D/RRM1/BCL2L1/TMEM109/NIPBL/XRCC5/ERCC1/MSH2/XRCC6/PARP1/ALAD/HSF1/CLOCK/INTS3/H2AX/CASP3/CBL/INTS7/TNKS1BP1/BAX/TIGAR/SOD2/BRCA1/DCLRE1C",28
"GO:0141188","nucleic acid catabolic process","67/1882","444/18805",0.150900900900901,1.50780629194551,3.61108449914585,0.00041968764881825,0.00769612380048888,0.00665698472194186,"HBS1L/CNOT3/NCBP1/MUS81/FXR2/PABPC1/HSPA1B/LRPPRC/LIN28B/NBDY/EXOSC8/SLIRP/VIM/HNRNPC/C1QBP/CASC3/NBAS/HNRNPD/NPM1/AXIN2/PAN3/YBX1/EXOSC9/FBH1/LSM2/TRIR/METTL16/CNOT10/RBM10/SMG7/HSF1/LARP4B/CNOT1/FUS/DCP1A/EIF4A3/KHSRP/RC3H2/CAPRIN1/RNPS1/YTHDF1/CTIF/SSB/METTL14/RC3H1/CSDE1/DICER1/DHX9/TAF15/MAPKAPK2/TNKS1BP1/XRN2/BAX/EDC3/LSM1/PARN/HNRNPA0/IGF2BP1/HNRNPU/NCBP2/DCP2/FEN1/GIGYF2/EDC4/LARP1/DDX5/NT5C3B",67
"GO:0008053","mitochondrial fusion","11/1882","35/18805",0.314285714285714,3.14035220889631,4.2265244402126,0.000420797204984536,0.00769612380048888,0.00665698472194186,"MIEF1/AFG3L2/HUWE1/MFN1/CHCHD3/MTCH2/MIGA1/TFRC/MFN2/BAX/MCL1",11
"GO:0019827","stem cell population maintenance","34/1882","187/18805",0.181818181818182,1.81673268283258,3.74309180325534,0.00043313376028601,0.00789636162982957,0.00683018621989478,"SMARCC1/CNOT3/BRMS1/KDM3A/ACTL6A/MTF2/NIPBL/ACTB/TEAD4/PHF19/PCM1/SINHCAF/DDX6/HES1/MED14/RBBP4/BMPR1A/GNL3/BCL7A/CNOT1/FUT10/CDC73/CTNNB1/METTL14/SMARCD1/LSM1/SUDS3/IGF2BP1/SAV1/ZNF322/ZNF706/MED6/DPF2/STAT3",34
"GO:0006998","nuclear envelope organization","15/1882","58/18805",0.258620689655172,2.58414562644289,4.02939147568286,0.000444475426153224,0.00805802770478645,0.00697002396405579,"RCC1/DCTN1/TOR1B/DMPK/REEP3/CHMP4B/CHMP1B/CTDNEP1/LPIN1/AKAP8L/CHMP6/TOR1AIP1/EMD/VPS4A/REEP4",15
"GO:0042594","response to starvation","40/1882","232/18805",0.172413793103448,1.72276375096193,3.69398884608098,0.00044483486274665,0.00805802770478645,0.00697002396405579,"CDKN1A/SAR1A/HNRNPA1/SLC7A5/SLC38A2/ATF3/COMT/STK24/YWHAZ/MTOR/HSPA8/MTMR3/SZT2/UPP1/LARS1/GCN1/YARS1/ADSL/MICU1/TBC1D5/PPM1D/ASNS/YWHAG/ACAT1/PAK1/PRKAG1/WDR45B/WIPI2/TBL2/EIF2AK1/STK26/CBL/VPS41/FLCN/TRIM32/MAP1LC3B/PAK4/EIF2AK4/DELE1/LARP1",40
"GO:0061615","glycolytic process through fructose-6-phosphate","9/1882","25/18805",0.36,3.5971307120085,4.33323529511094,0.000455194165268419,0.00821950606998974,0.00710969934324007,"PGK1/PKM/TPI1/ENO1/PRKACA/HK2/PGAM1/HK1/PFKM",9
"GO:0006402","mRNA catabolic process","56/1882","357/18805",0.156862745098039,1.56737721656144,3.60933845849858,0.000465519322054618,0.00837934779698313,0.00724795906490102,"HBS1L/CNOT3/NCBP1/FXR2/PABPC1/HSPA1B/NBDY/EXOSC8/VIM/HNRNPC/CASC3/NBAS/HNRNPD/NPM1/AXIN2/PAN3/YBX1/EXOSC9/LSM2/METTL16/CNOT10/RBM10/SMG7/LARP4B/CNOT1/FUS/DCP1A/EIF4A3/KHSRP/RC3H2/CAPRIN1/RNPS1/YTHDF1/CTIF/SSB/METTL14/RC3H1/CSDE1/DHX9/TAF15/MAPKAPK2/TNKS1BP1/XRN2/EDC3/LSM1/PARN/HNRNPA0/IGF2BP1/HNRNPU/NCBP2/DCP2/GIGYF2/EDC4/LARP1/DDX5/NT5C3B",56
"GO:0000724","double-strand break repair via homologous recombination","34/1882","188/18805",0.180851063829787,1.80706921111538,3.70878030959029,0.000478939923132192,0.00859372328951391,0.00743338934325043,"MUS81/MORF4L1/ACTL6A/ERCC5/NIPBL/ACTB/MORF4L2/SLF2/WRAP53/RNF126/C1QBP/SMC6/MMS22L/SETD2/ZFYVE26/PPP4R2/POGZ/FBH1/UBQLN4/HUS1B/UHRF1/EID3/PARP1/FUS/CHD4/INTS3/H2AX/MCM5/CREBBP/NBN/RAD51C/BRCA1/FEN1/TOP3A",34
"GO:0010821","regulation of mitochondrion organization","24/1882","117/18805",0.205128205128205,2.04964712934957,3.79796618859027,0.000496440928168129,0.0088797358472337,0.00768078417165784,"MIEF1/GHITM/SSBP1/PRMT6/GSK3A/MYO19/BCL2L1/HUWE1/SLC30A9/HGF/MOAP1/FAM162A/ACAA2/GSK3B/SLC25A6/MTCH2/MICU1/CLU/PSMD10/TFRC/AURKA/MFF/BAX/SLC25A4",24
