"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032993","protein-DNA complex","47/1936","240/19880",0.195833333333333,2.01093319559229,5.17544442868334,2.53077828494703e-06,3.70320006185106e-05,2.38670605175456e-05,"PRKDC/RPAP2/H2BC8/H4C15/MORF4L1/H1-4/H2AC19/H2AZ1/ACTL6A/H3C15/ERCC5/ACTB/MORF4L2/GTF2B/H2BC5/TEAD4/CDC5L/H2AC12/XRCC5/NPM1/H2AC4/ACTR6/NFYC/H2AC6/H3C14/PLRG1/MED1/H2AC13/XRCC6/PCNA/H2BC13/MACROH2A1/PRPF19/PARP1/KDM5A/GLYR1/CTNNB1/H2AX/H3C10/MCM5/H2AC7/SUZ12/H2BC12/H1-10/GINS1/H3C2/PRIM2",47
"GO:0005819","spindle","73/1936","435/19880",0.167816091954023,1.72323548969317,5.00968820517631,2.66631518741063e-06,3.82349597874685e-05,2.46423656268056e-05,"CDCA8/CLTA/MAP7D1/SEPTIN6/CEP162/UXT/TPT1/HAUS6/POLDIP2/EML3/DCTN4/DIAPH1/SMC6/TUBB/DCTN1/BIRC6/NPM1/CALM3/MAPRE1/TBL1XR1/STAG1/KIF4A/TRAPPC14/UHRF1/ZNF207/CSNK1A1/TAF1D/CDC20/TUBB6/UNC119/WDR62/NEK7/ARHGEF2/DYNC1LI1/NUDC/CDC42/PPP2CB/CHMP4B/CHMP1B/RPS3/PRPF19/SEPTIN2/HSF1/CCNB1/PARP4/SAC3D1/RTRAF/LSM14A/ANXA11/TFDP2/CTNNB1/ANAPC5/SEPTIN7/HAUS1/CLASP1/AURKA/CHMP6/TADA3/LATS2/SKA2/FLCN/EMD/VPS4A/KIF2C/MAD1L1/IK/CBX3/CLASP2/TUBGCP3/DAPK3/HNRNPU/TUBGCP5/NUSAP1",73
"GO:0070993","translation preinitiation complex","10/1936","19/19880",0.526315789473684,5.40452370595911,6.30907237693082,3.03363752727987e-06,4.26493746482288e-05,2.74874483895947e-05,"EIF1AX/DHX29/EIF3CL/EIF3D/EIF3G/EIF3C/EIF3F/EIF3L/EIF3I/EIF1B",10
"GO:1990204","oxidoreductase complex","34/1936","153/19880",0.222222222222222,2.28191000918274,5.22833064139385,3.53426162712278e-06,4.8732030512443e-05,3.14077096013543e-05,"RAC1/HADHA/RRM1/HADHB/IDH3B/BCKDK/COX7C/IDH3A/COX6C/NDUFA6/NDUFA11/COX8A/DLST/NDUFS2/NDUFS7/NDUFA3/NDUFB11/LDHA/P4HB/RRM2/COX4I1/NDUFB6/UQCRFS1/NDUFA4/NDUFAB1/UQCRC2/UQCRB/LDHB/NDUFV2/NDUFV1/DLD/NDUFB7/P4HA1/CYB5B",34
"GO:0031252","cell leading edge","72/1936","434/19880",0.165898617511521,1.70354572114103,4.86757176406805,4.7350775511285e-06,6.40575585690403e-05,4.12849859969297e-05,"ARF4/RAC1/CDC42BPB/NCKAP1/PABPC1/ARPC2/CASP8/ARPC5/ACTB/EEF1A1/ITGB1/CFL1/DIAPH1/ITGAV/VIM/CYFIP1/ARPC3/CTNNA1/HAX1/ATP6AP2/MTMR14/ITGA5/DCTN1/MYO9B/FLOT1/ACTN1/CAPZB/RAB13/CDK5/SRC/PTPN13/GNAS/ABI1/TMEM87A/NRBP1/SCRIB/PIP5K1A/ARHGEF2/MYO1C/CDC42/P4HB/CORO1C/RPS3/ERBB2/CADM4/CAPRIN1/PAK1/CTNNB1/VASP/ABI2/ATP6V1B2/RAB5A/SLC39A6/CORO1B/CLIP1/ALS2/FERMT2/EZR/DDX3X/CLASP2/MTMR6/AIF1L/RASGRP2/IGF2BP1/AKT2/SNX1/PRKCI/SNX5/RASA1/RDX/SPTBN1/EPB41L5",72
"GO:0061695","transferase complex, transferring phosphorus-containing groups","55/1936","305/19880",0.180327868852459,1.85171385991058,4.92360338876184,5.24345411957642e-06,6.96214185877091e-05,4.48708841811705e-05,"CSNK2B/ERC1/CCNI/CDKN1A/PRKDC/CCNG1/TAF2/TAF13/PIK3R3/TAF9/PHKA2/GTF2B/TUFT1/TBPL1/XRCC5/CCNK/CDK5/CSNK2A2/CDK11B/TCEA1/PRKACA/PRKAR2A/TAF8/CCNC/CCND3/PRKAR1B/POLR1E/XRCC6/TBC1D5/PCNA/POLR1H/GTF2F1/USP22/CCNB1/CDK7/TAF1/POLR3C/STRADA/PRKAR2B/CDC73/POLR2A/PRKAG1/CDK16/POLR2J/ATG13/CDK8/TADA3/CHUK/POLR2E/POLR1D/PFKM/PRIM2/PRPS1/PRKCI/ATG101",55
"GO:0005741","mitochondrial outer membrane","44/1936","228/19880",0.192982456140351,1.98165869218501,4.89682828720745,7.73414803204134e-06,0.000100825166163157,6.49816456663378e-05,"MIEF1/VDAC1/UBC/MYO19/HADHB/UBA52/BCL2L1/ATAD1/CASP8/MFN1/PI4KB/CHCHD3/MOAP1/HAX1/PRNP/FAM210B/MTOR/SLC44A1/DMPK/IFI27/APOO/RPS27A/HSPA9/MTCH2/PHB2/KRAS/RHOT2/VDAC3/HK2/MIGA1/HMOX1/HK1/LPIN1/COASY/MFF/MFN2/BAX/TIGAR/FIS1/DELE1/VDAC2/MCL1/CYB5B/TRIM14",44
"GO:0120114","Sm-like protein family complex","28/1936","119/19880",0.235294117647059,2.4161400097229,5.08938760311016,7.97393439848824e-06,0.000102094838637787,6.57999473860214e-05,"DDX39B/SART1/SNRNP200/RBM42/SNRPG/PRPF8/SNRNP70/LUC7L3/SNRPD1/SF3B2/LSM3/LUC7L2/SMN2/LSM2/SNRNP40/SNU13/PRPF40A/SF3B1/EFTUD2/SMN1/ARFGEF1/PRPF31/U2SURP/SF3A1/PRPF6/LSM1/SNRPN/SNRPD2",28
"GO:0022624","proteasome accessory complex","11/1936","25/19880",0.44,4.51818181818182,5.78154155576411,8.87991142051529e-06,0.000111699938394903,7.19904176104564e-05,"PSMD7/PSMC6/PSMD8/PSMD4/ADRM1/PSMD1/PSME2/PSMD2/PSMD10/PSMC3/PSMD9",11
"GO:0030904","retromer complex","10/1936","21/19880",0.476190476190476,4.88980716253444,5.85799968775645,9.64586630430757e-06,0.000119242864486009,7.68518204644469e-05,"SNX3/SNX27/SNX8/DCTN1/TRIM27/TBC1D5/VPS29/VPS26A/SNX1/SNX5",10
