"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022626","cytosolic ribosome","9/129","118/19880",0.076271186440678,11.7540402049665,9.4687966422369,7.58483516853565e-08,2.2754505505607e-05,2.04391347699487e-05,"RPS23/RPS16/RPL38/RPS9/RPL13A/RPL18A/HBS1L/RPL3/RPL8",9
"GO:0005840","ribosome","11/129","244/19880",0.0450819672131148,6.94751556741644,7.5544276531087,5.65942850952952e-07,8.48914276429429e-05,7.62533525494504e-05,"RPS23/RPS16/RPL38/RPS9/RPL13A/RPL18A/MRPL41/HBS1L/RPL3/EEF2/RPL8",11
"GO:0044391","ribosomal subunit","9/129","186/19880",0.0483870967741935,7.45686421605401,7.15004436221427,3.53526663356196e-06,0.000353526663356196,0.000317553774804162,"RPS23/RPS16/RPL38/RPS9/RPL13A/RPL18A/MRPL41/RPL3/RPL8",9
"GO:0022625","cytosolic large ribosomal subunit","5/129","57/19880",0.087719298245614,13.5182918536652,7.64883667227849,3.40050261638741e-05,0.00255037696229056,0.00229086492051362,"RPL38/RPL13A/RPL18A/RPL3/RPL8",5
"GO:0015934","large ribosomal subunit","6/129","114/19880",0.0526315789473684,8.1109751121991,6.15346544734019,9.99145319469596e-05,0.00599487191681758,0.00538486740598351,"RPL38/RPL13A/RPL18A/MRPL41/RPL3/RPL8",6
